approx_year_built,cats_allowed,coop_condo,dining_room_type,dogs_allowed,garage_exists,kitchen_type,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,pct_tax_deductibl,sale_price,sq_footage,walk_score,zip_codes,monthly_costs
1961,no,co-op,formal,no,no,eat in,3,2,0,6,50,NA,1200,88,West Queens,1065
1952,no,co-op,NA,no,no,combo,3,2,0,5,40,NA,1300,88,West Queens,1081
1964,no,co-op,NA,no,no,eat in,2,1,1,6,NA,NA,1200,88,West Queens,849
1960,no,co-op,combo,no,no,eat in,2,1,0,5,NA,NA,960,88,West Queens,685
1961,no,co-op,formal,no,no,efficiency,1,1,0,3,NA,NA,NA,88,West Queens,415
1951,yes,co-op,formal,yes,no,efficiency,1,1,0,5,NA,NA,NA,93,West Central Queens,0
1950,no,co-op,formal,no,no,eat in,1,1,0,3,NA,NA,800,88,West Queens,724
1950,no,co-op,NA,no,no,efficiency,1,1,0,4,NA,NA,NA,88,West Queens,646
1952,no,co-op,NA,no,no,eat in,NA,1,0,3,NA,NA,600,90,West Central Queens,630
1952,yes,co-op,combo,yes,no,combo,1,1,0,3,NA,NA,800,90,West Central Queens,927
1952,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,NA,NA,90,West Central Queens,731
1930,no,co-op,formal,no,no,eat in,1,1,0,3,NA,NA,NA,90,West Central Queens,699
1959,no,co-op,formal,no,no,efficiency,1,1,0,4,NA,NA,NA,88,West Queens,671
1962,no,co-op,NA,no,no,eat in,2,1,0,5,NA,NA,NA,88,West Queens,804
1957,no,co-op,formal,no,no,eat in,2,1,0,4,50,NA,NA,90,West Central Queens,1229
1952,no,co-op,NA,no,no,eat in,1,1,0,3,NA,NA,NA,90,West Central Queens,757
1955,no,co-op,combo,no,no,combo,2,1,0,4,NA,NA,NA,90,West Central Queens,155
1952,yes,co-op,NA,yes,yes,eat in,3,1,1,6,NA,NA,NA,92,West Central Queens,1452
1952,no,co-op,combo,no,no,combo,1,1,0,3,NA,NA,NA,92,West Central Queens,702
1950,no,co-op,formal,no,no,eat in,1,1,0,4,NA,NA,960,82,North Queens,979
1950,yes,co-op,formal,no,no,efficiency,2,1,1,5,NA,NA,NA,74,Northeast Queens,719
1950,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,NA,NA,76,Northeast Queens,476
1984,yes,condo,formal,yes,yes,eat in,3,2,0,8,NA,NA,NA,49,Northeast Queens,685.3333333
1960,no,co-op,combo,no,no,efficiency,NA,1,0,2,50,NA,NA,83,West Queens,413
1954,no,co-op,combo,no,no,eat in,2,1,0,5,NA,NA,800,88,North Queens,706
1975,no,co-op,formal,no,no,eat in,2,1,0,4,NA,NA,NA,87,West Central Queens,830
1965,no,co-op,combo,no,yes,efficiency,2,1,0,4,NA,NA,900,82,Central Queens,1035
1952,yes,condo,combo,yes,no,eat in,1,1,0,4,NA,NA,687,84,West Central Queens,623.6666667
2010,no,condo,formal,no,no,combo,3,2,0,6,NA,NA,NA,96,West Central Queens,270.8333333
1956,yes,co-op,NA,yes,no,eat in,3,1,0,5,NA,NA,NA,96,Northwest Queens,822
1959,no,co-op,NA,no,no,eat in,1,1,0,4,NA,NA,NA,77,North Queens,1148
1982,no,condo,formal,no,no,eat in,1,1,0,4,NA,NA,950,82,North Queens,1039.583333
1951,no,co-op,combo,no,no,combo,3,1,0,5,NA,NA,NA,80,Northeast Queens,1055
2012,no,condo,combo,no,no,eat in,1,1,0,4,NA,NA,NA,60,North Queens,311.75
1960,no,co-op,combo,no,no,eat in,1,1,0,4,45,NA,700,91,North Queens,530
1940,no,co-op,NA,no,no,efficiency,3,1,0,6,NA,NA,NA,90,Central Queens,888
1950,no,co-op,combo,no,yes,eat in,1,1,0,3,NA,NA,NA,79,Jamaica,658
1950,no,co-op,formal,no,no,efficiency,2,1,0,6,NA,NA,NA,82,Central Queens,1013
1974,no,condo,formal,no,no,efficiency,2,2,0,5,NA,NA,NA,90,Southwest Queens,804.5
1950,yes,co-op,combo,no,no,efficiency,2,1,0,5,NA,NA,NA,76,Northeast Queens,880
1952,no,co-op,NA,no,no,efficiency,2,1,0,5,NA,NA,950,95,West Central Queens,775
1952,yes,co-op,formal,yes,no,NA,1,1,0,3,NA,NA,800,96,West Central Queens,595
1966,yes,co-op,formal,yes,yes,eat in,2,2,0,5,NA,NA,NA,71,North Queens,2344
1982,no,condo,NA,no,no,eat in,1,1,0,4,NA,NA,NA,82,North Queens,837.1666667
1950,yes,co-op,formal,no,no,efficiency,2,1,0,5,NA,NA,NA,75,Northeast Queens,719
2011,yes,condo,formal,yes,no,efficiency,2,1,0,5,NA,NA,957,72,North Queens,323.3333333
1999,no,condo,NA,no,no,combo,1,1,0,3,NA,NA,650,90,North Queens,404.3333333
1950,no,co-op,combo,no,no,eat in,1,1,0,3,NA,NA,NA,79,Jamaica,658
1970,no,co-op,combo,no,no,efficiency,NA,1,0,3,NA,NA,NA,97,Jamaica,544
1950,no,co-op,combo,no,no,efficiency,1,1,0,4,NA,NA,NA,92,Jamaica,125
2016,no,condo,formal,no,yes,eat in,2,2,0,5,NA,NA,988,93,Southwest Queens,348.3333333
2008,no,condo,combo,no,no,eat in,1,1,0,3,NA,NA,NA,77,West Central Queens,213.3333333
1987,no,condo,combo,no,no,combo,2,1,0,4,NA,NA,NA,97,North Queens,779
1983,yes,condo,formal,no,yes,eat in,2,2,0,5,NA,NA,NA,82,North Queens,1480
2010,no,condo,formal,no,no,combo,3,2,0,6,NA,NA,1500,96,West Central Queens,270.8333333
2010,no,condo,formal,no,no,combo,3,2,0,6,NA,NA,1600,96,West Central Queens,270.8333333
1982,no,condo,formal,no,yes,combo,2,2,0,5,NA,NA,1134,82,North Queens,1107.416667
1955,no,co-op,combo,no,no,efficiency,3,1,0,3,NA,NA,NA,78,Southwest Queens,349
1912,no,co-op,NA,no,no,efficiency,NA,1,0,2,43,NA,NA,99,West Central Queens,738
1953,yes,co-op,combo,no,no,combo,3,1,0,5,39,NA,NA,49,North Queens,1495
1941,no,condo,formal,no,no,efficiency,4,1,0,7,NA,NA,1524,94,West Central Queens,481.3333333
1957,no,condo,NA,no,no,combo,1,1,0,3,NA,NA,NA,95,West Central Queens,456
1953,no,co-op,combo,no,no,combo,3,1,0,5,NA,NA,NA,58,North Queens,1475
2004,no,condo,NA,no,no,eat in,1,1,0,3,NA,NA,550,90,West Queens,214.75
1960,no,co-op,NA,yes,no,combo,3,3,0,6,50,NA,1650,92,West Central Queens,1895
1965,yes,co-op,NA,yes,yes,combo,2,1,0,4,NA,NA,NA,92,West Central Queens,1141
1960,no,co-op,formal,no,no,eat in,2,1,0,6,NA,NA,1300,96,West Central Queens,1000
1953,yes,co-op,combo,yes,no,combo,1,1,0,3,NA,NA,850,58,North Queens,1036
1955,yes,co-op,formal,yes,no,eat in,3,2,0,6,NA,NA,1350,94,West Central Queens,1477
1953,no,co-op,combo,no,no,eat in,2,1,0,5,NA,NA,NA,94,West Central Queens,1072
1955,yes,co-op,formal,yes,no,eat in,3,2,0,6,NA,NA,NA,94,West Central Queens,1477
1950,no,co-op,combo,no,no,efficiency,1,1,0,0,50,NA,850,94,West Central Queens,683
2006,no,condo,NA,no,no,eat in,2,1,0,5,NA,NA,NA,97,West Queens,254
2009,yes,condo,combo,yes,yes,efficiency,3,2,0,6,NA,NA,847,97,West Queens,240.6666667
2009,no,condo,combo,yes,no,combo,1,1,1,4,NA,NA,592,96,West Queens,222.5833333
2010,no,condo,formal,no,no,efficiency,2,2,0,6,NA,NA,860,96,West Queens,195
2000,no,condo,NA,no,no,eat in,1,1,0,3,NA,NA,620,90,West Queens,339
1952,yes,co-op,combo,no,no,eat in,1,1,0,1,50,NA,500,90,West Central Queens,494
1950,no,co-op,combo,no,no,efficiency,4,2,0,8,NA,NA,NA,90,West Central Queens,1524
1939,no,co-op,NA,no,yes,eat in,1,1,0,3,50,NA,100,98,West Central Queens,1074
1996,no,co-op,NA,no,no,eat in,1,1,0,3,NA,NA,NA,83,West Queens,606
1950,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,NA,NA,83,West Queens,700
2011,no,condo,formal,no,no,eat in,3,2,0,7,NA,NA,NA,95,West Queens,120.8333333
1939,yes,co-op,NA,yes,no,eat in,1,1,0,3,NA,NA,850,98,West Central Queens,854
1958,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,NA,NA,63,North Queens,1022
1965,no,co-op,formal,no,yes,eat in,2,2,0,5,NA,NA,1300,99,West Central Queens,2018
1965,no,co-op,NA,no,yes,eat in,2,2,0,5,32,NA,NA,99,West Central Queens,1678
1964,no,co-op,formal,no,yes,eat in,1,1,0,4,NA,NA,NA,99,West Central Queens,1186
1965,no,co-op,formal,no,yes,efficiency,2,1,0,4,NA,NA,NA,99,West Central Queens,1425
1965,no,co-op,formal,no,no,eat in,2,2,0,5,NA,NA,NA,99,West Central Queens,1732
1965,no,co-op,NA,no,yes,eat in,2,2,0,5,32,NA,NA,99,West Central Queens,2134
1965,no,co-op,formal,no,no,combo,2,2,0,5,NA,NA,1300,99,West Central Queens,1832
1956,no,co-op,formal,no,no,eat in,1,1,0,3,45,NA,750,97,West Central Queens,775
1959,no,co-op,combo,no,no,combo,1,1,0,3,NA,NA,NA,97,West Central Queens,620
1932,no,co-op,combo,no,no,eat in,1,1,0,4,40,NA,NA,98,West Central Queens,737
1942,no,co-op,NA,no,no,combo,1,1,0,3,50,NA,NA,98,West Central Queens,700
1951,yes,condo,combo,yes,no,combo,5,2,0,5,NA,NA,980,77,West Central Queens,618.0833333
1951,no,co-op,combo,no,yes,eat in,3,2,0,6,NA,NA,NA,98,West Central Queens,2128
1940,no,co-op,combo,no,no,eat in,NA,1,0,2,NA,NA,NA,98,West Central Queens,570
1965,no,co-op,combo,no,no,combo,1,1,0,3,NA,NA,NA,97,West Central Queens,656
2007,no,co-op,formal,no,no,eat in,2,1,0,5,NA,NA,1100,97,West Central Queens,0
1949,no,co-op,combo,no,no,efficiency,1,1,0,4,NA,NA,NA,69,West Central Queens,46.16666667
1936,no,co-op,formal,no,no,combo,2,1,0,4,NA,NA,NA,94,West Central Queens,1050
1992,yes,condo,combo,yes,no,eat in,1,1,1,5,NA,NA,904,94,West Central Queens,969.0833333
1992,yes,condo,formal,yes,yes,efficiency,1,1,1,4,NA,NA,914,94,West Central Queens,1326.166667
NA,no,co-op,NA,no,no,NA,NA,1,0,4,NA,NA,NA,92,West Central Queens,0
2008,no,condo,combo,no,no,combo,2,1,1,5,NA,NA,1742,84,West Queens,382.4166667
2008,no,condo,combo,no,no,eat in,2,1,1,5,NA,NA,751,84,West Queens,268
1956,no,co-op,combo,no,no,eat in,3,2,0,5,NA,NA,NA,97,West Central Queens,1471
2006,no,condo,combo,no,no,eat in,1,1,0,3,NA,NA,NA,84,West Queens,160.6666667
1950,no,co-op,NA,no,no,eat in,1,1,0,3,42,NA,NA,93,West Central Queens,748
1940,yes,co-op,NA,yes,yes,combo,2,1,0,4,NA,NA,NA,94,West Central Queens,933
1941,yes,co-op,formal,yes,yes,eat in,2,1,0,4,NA,NA,NA,94,West Central Queens,1285
1941,no,co-op,combo,no,no,efficiency,2,1,0,4,75,NA,928,94,West Central Queens,1042
1928,yes,co-op,NA,no,no,eat in,2,1,0,4,50,NA,1000,87,Southwest Queens,797
1936,no,co-op,formal,no,no,eat in,2,2,0,5,NA,NA,1300,84,Southwest Queens,1177
1940,yes,co-op,NA,yes,no,eat in,1,1,0,4,50,NA,NA,91,Southwest Queens,820
1965,no,co-op,NA,no,yes,NA,3,3,0,6,50,NA,1700,92,West Central Queens,2020
1965,no,co-op,combo,no,yes,combo,1,1,0,3,50,NA,750,93,Southwest Queens,1123
1974,no,co-op,combo,no,no,efficiency,1,1,0,3,48,NA,800,93,Southwest Queens,1169
1974,no,co-op,formal,no,yes,eat in,2,2,0,5,50,NA,1050,93,Southwest Queens,1598
1950,yes,co-op,formal,yes,no,eat in,1,1,0,4,NA,NA,800,91,Southwest Queens,750
1989,no,condo,combo,no,no,combo,2,2,0,4,NA,NA,1005,92,Southwest Queens,632.25
1989,no,condo,formal,no,no,combo,3,3,0,7,NA,NA,NA,48,North Queens,932.6666667
1983,no,condo,NA,no,no,NA,1,1,0,3,NA,NA,NA,80,North Queens,555
1985,yes,condo,combo,yes,no,eat in,2,2,1,5,NA,NA,1800,59,North Queens,1333.333333
1950,no,co-op,combo,no,no,eat in,1,1,0,3,NA,NA,NA,92,Southwest Queens,880
1937,yes,co-op,formal,yes,no,eat in,3,2,0,6,NA,NA,NA,90,Southwest Queens,1249
1960,no,co-op,combo,no,yes,efficiency,1,1,0,3,NA,NA,NA,91,Southwest Queens,1111
1960,yes,co-op,combo,yes,no,efficiency,NA,1,0,2,NA,NA,NA,92,Southwest Queens,427
2017,yes,condo,combo,yes,no,efficiency,1,1,0,2,NA,NA,712,92,North Queens,434.75
1960,no,co-op,NA,no,no,efficiency,2,1,1,6,NA,NA,NA,92,Southwest Queens,984
1985,yes,condo,NA,yes,yes,eat in,3,2,1,6,NA,NA,2200,51,North Queens,1299.416667
2003,no,condo,combo,no,no,eat in,NA,2,0,4,NA,NA,980,97,North Queens,298.25
1987,no,condo,combo,no,no,combo,1,1,0,3,NA,NA,621,97,North Queens,1053.75
1987,yes,condo,NA,yes,no,eat in,2,2,0,6,NA,NA,NA,97,North Queens,933.0833333
2001,no,condo,combo,no,no,combo,2,2,0,5,NA,NA,1027,97,North Queens,847
1950,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,NA,800,96,North Queens,655
2015,no,condo,combo,no,no,combo,1,1,0,4,NA,NA,NA,96,North Queens,134.4166667
1987,no,condo,combo,no,no,combo,1,1,0,3,NA,NA,650,96,North Queens,559
1962,no,co-op,formal,no,no,eat in,1,1,0,4,NA,NA,735,96,North Queens,480
1962,no,co-op,formal,no,no,eat in,1,1,0,4,NA,NA,750,96,North Queens,577
1962,no,co-op,formal,no,no,combo,1,1,0,4,NA,NA,NA,96,North Queens,415
2015,no,condo,formal,no,no,eat in,NA,1,0,2,NA,NA,495,99,North Queens,236.75
2015,no,condo,formal,no,no,eat in,1,1,0,2,NA,NA,680,99,North Queens,337.3333333
2015,no,condo,formal,no,no,eat in,NA,1,0,2,NA,NA,680,99,North Queens,337.3333333
2015,no,condo,formal,no,no,eat in,1,1,0,2,NA,NA,680,99,North Queens,337.3333333
1950,no,co-op,NA,no,no,combo,1,1,0,3,NA,NA,NA,97,North Queens,552
1986,no,condo,combo,no,no,eat in,2,2,0,5,NA,NA,NA,98,North Queens,716.6666667
1928,no,co-op,combo,no,no,combo,1,1,0,3,NA,NA,600,99,North Queens,615
1950,yes,co-op,formal,yes,no,efficiency,2,1,0,4,NA,NA,NA,63,Central Queens,988
1940,yes,co-op,NA,yes,no,eat in,2,1,0,7,NA,NA,NA,67,Central Queens,980
2001,no,condo,NA,no,no,combo,2,2,0,5,NA,NA,728,93,North Queens,941.4166667
NA,no,co-op,combo,no,no,eat in,1,1,0,3,NA,NA,NA,94,North Queens,632
1963,no,co-op,combo,no,no,eat in,1,1,0,3,NA,NA,NA,98,North Queens,463
1960,no,co-op,formal,no,no,eat in,2,1,1,5,NA,NA,NA,7,North Queens,901
1986,no,condo,combo,no,no,efficiency,2,2,0,4,NA,NA,871,93,Other,749
1950,no,co-op,combo,no,no,eat in,2,1,0,5,NA,NA,1100,77,Central Queens,1013
1964,no,co-op,NA,no,no,eat in,2,1,0,4,50,NA,NA,93,North Queens,792
1952,no,co-op,combo,no,yes,eat in,1,1,0,3,NA,NA,NA,90,Jamaica,688
1958,yes,co-op,combo,yes,yes,efficiency,1,1,0,3,50,NA,800,85,Jamaica,718
1958,yes,co-op,combo,yes,no,efficiency,2,1,0,4,50,NA,975,85,Jamaica,786
1958,yes,co-op,combo,yes,no,efficiency,2,1,0,4,50,NA,975,85,Jamaica,837
1958,yes,co-op,combo,yes,yes,efficiency,1,1,0,3,50,NA,800,85,Jamaica,667
1950,yes,co-op,combo,yes,no,efficiency,1,1,0,4,53,NA,800,90,Jamaica,893
1999,no,condo,combo,no,no,combo,2,2,0,5,NA,NA,896,97,North Queens,697
NA,no,condo,combo,no,no,combo,2,2,0,5,NA,NA,NA,95,North Queens,399.25
1952,no,co-op,formal,no,no,efficiency,1,1,0,3,NA,NA,NA,88,Jamaica,647
2006,no,condo,formal,no,no,efficiency,2,2,0,5,NA,NA,NA,94,North Queens,18.33333333
NA,no,co-op,combo,no,no,eat in,2,1,0,4,NA,NA,NA,95,North Queens,928
1955,no,co-op,combo,no,no,efficiency,3,1,0,5,NA,NA,1000,86,North Queens,770
2011,no,co-op,combo,no,no,eat in,2,3,0,4,NA,NA,2143,92,North Queens,438
1937,no,co-op,combo,no,no,eat in,2,2,0,6,NA,NA,1400,97,North Queens,950
1937,no,co-op,combo,no,no,eat in,1,1,0,4,NA,NA,800,97,North Queens,571
1940,no,co-op,combo,no,no,eat in,1,1,0,3,55,NA,750,90,Central Queens,604
1955,no,co-op,NA,no,no,combo,2,2,0,5,NA,NA,NA,82,Southwest Queens,1042
1955,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,NA,NA,82,Jamaica,560
1965,no,co-op,formal,no,no,efficiency,3,2,0,8,NA,NA,NA,99,North Queens,1394.75
1965,no,co-op,formal,no,no,eat in,3,2,0,7,NA,NA,NA,99,North Queens,0
1959,no,co-op,combo,no,no,efficiency,NA,1,0,2,NA,NA,NA,86,Jamaica,546
1950,no,co-op,combo,no,no,efficiency,NA,1,0,2,NA,NA,400,86,Jamaica,380
2007,yes,condo,combo,yes,no,combo,2,2,0,6,NA,NA,855,99,North Queens,41
2007,yes,condo,combo,yes,no,combo,2,2,0,6,NA,NA,NA,99,North Queens,554
2009,no,condo,combo,no,no,efficiency,1,1,0,3,NA,NA,NA,78,Jamaica,275.5
2002,no,condo,combo,no,no,combo,2,1,0,4,NA,NA,1260,55,North Queens,214
1985,no,co-op,combo,no,no,eat in,NA,1,0,2,NA,NA,NA,94,North Queens,743
1948,no,co-op,formal,no,no,efficiency,2,1,0,5,NA,NA,900,77,Jamaica,975
1988,no,condo,combo,no,no,combo,2,1,0,5,NA,NA,915,94,North Queens,769.5
1960,no,co-op,combo,no,no,eat in,2,1,0,5,NA,NA,NA,88,North Queens,857
1948,no,co-op,formal,no,no,combo,1,1,0,3,NA,NA,NA,88,Central Queens,570
1950,no,co-op,formal,no,no,efficiency,2,1,0,5,NA,NA,1000,88,Other,184.25
1959,no,co-op,combo,no,no,combo,2,1,0,4,NA,NA,NA,92,North Queens,850
1965,no,co-op,combo,no,yes,eat in,2,1,0,4,NA,NA,900,91,North Queens,810
1950,no,co-op,combo,no,no,eat in,2,1,0,4,NA,NA,900,88,Central Queens,800
1950,no,co-op,NA,no,no,efficiency,1,1,0,4,NA,NA,NA,87,North Queens,552
1963,no,co-op,combo,no,no,eat in,2,1,0,4,NA,NA,800,82,Central Queens,940
1954,no,co-op,combo,no,no,eat in,1,1,0,3,NA,NA,NA,82,Central Queens,776
1954,no,co-op,NA,no,no,eat in,1,1,0,4,NA,NA,NA,82,Central Queens,865
1989,no,condo,combo,no,no,efficiency,1,1,0,3,NA,NA,500,96,North Queens,698.1666667
1989,yes,condo,combo,yes,no,efficiency,1,1,0,3,NA,NA,500,96,North Queens,657.5
1950,yes,co-op,formal,yes,no,eat in,1,1,0,4,35,NA,NA,88,Central Queens,1070
1950,no,co-op,formal,no,no,efficiency,1,1,0,4,NA,NA,NA,88,Central Queens,969
1987,no,condo,formal,no,no,eat in,3,2,0,4,NA,NA,1250,95,North Queens,1185.333333
1987,yes,condo,NA,yes,no,efficiency,1,1,0,3,NA,NA,580,95,North Queens,579.5
1950,yes,co-op,combo,yes,no,efficiency,2,1,0,5,40,NA,1000,88,Central Queens,1311
1988,yes,condo,combo,yes,yes,efficiency,2,2,0,5,NA,NA,1050,94,North Queens,830.3333333
1947,yes,co-op,formal,yes,no,eat in,2,1,0,4,NA,NA,1000,78,Southwest Queens,1372
1965,no,condo,NA,no,no,efficiency,2,2,0,5,NA,NA,NA,74,Southwest Queens,924.0833333
1989,no,condo,combo,no,no,eat in,3,2,0,6,NA,NA,NA,81,Southwest Queens,542.6666667
1948,no,co-op,formal,no,no,eat in,2,1,0,5,NA,NA,NA,86,Jamaica,1387
2007,yes,condo,combo,yes,no,efficiency,1,1,0,3,NA,NA,739,92,North Queens,441.6666667
NA,yes,condo,combo,yes,yes,combo,NA,1,0,3,NA,NA,500,90,Central Queens,543.3333333
1973,yes,condo,combo,yes,yes,efficiency,2,2,0,6,NA,NA,1000,90,Central Queens,909.3333333
1985,yes,condo,formal,yes,no,eat in,2,2,0,5,NA,NA,NA,73,Southwest Queens,579.25
1948,no,co-op,formal,no,yes,efficiency,2,1,0,5,50,NA,NA,85,Jamaica,1358
1948,yes,co-op,NA,yes,no,efficiency,2,1,0,4,NA,NA,NA,83,Jamaica,1312
1950,no,co-op,combo,no,no,efficiency,2,1,0,4,NA,NA,NA,88,Central Queens,1387
1952,no,co-op,formal,no,no,combo,1,1,0,3,NA,NA,650,87,Central Queens,627
1950,yes,co-op,formal,yes,no,efficiency,2,1,0,5,40,NA,1000,87,Jamaica,1385
1960,yes,co-op,combo,no,no,efficiency,2,2,0,5,NA,NA,1100,77,Southwest Queens,1000
1960,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,NA,NA,77,Southwest Queens,675
1982,no,condo,combo,no,no,eat in,3,2,0,6,NA,NA,NA,75,Southwest Queens,628.3333333
1966,no,condo,NA,no,no,efficiency,1,1,0,4,NA,NA,750,76,Southwest Queens,812.3333333
NA,no,condo,formal,no,yes,eat in,3,2,0,6,NA,NA,NA,75,Southwest Queens,470
1965,yes,co-op,NA,no,no,efficiency,1,1,0,4,NA,NA,NA,77,Southwest Queens,670
1973,no,condo,combo,no,no,efficiency,2,1,0,5,NA,NA,NA,90,Central Queens,836.9166667
1973,yes,condo,combo,yes,yes,efficiency,2,1,0,5,NA,NA,NA,90,Central Queens,774.9166667
1973,no,condo,NA,no,yes,combo,2,2,0,5,NA,NA,1002,90,Central Queens,1027.5
1946,yes,co-op,NA,no,no,combo,1,1,0,3,NA,NA,NA,86,Central Queens,620
1963,no,condo,combo,no,no,eat in,1,1,0,3,NA,NA,767,85,Central Queens,701.1666667
1963,no,co-op,combo,no,no,efficiency,1,1,0,4,NA,NA,NA,85,Southwest Queens,748
1965,yes,co-op,formal,no,no,efficiency,2,2,0,5,NA,NA,NA,77,Southwest Queens,1022
1965,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,NA,NA,77,Southwest Queens,782
1950,yes,co-op,formal,yes,no,efficiency,2,1,0,5,NA,NA,NA,77,Southwest Queens,672
1960,no,condo,NA,no,no,NA,2,1,0,5,NA,NA,NA,67,Southwest Queens,483.3333333
1979,yes,condo,formal,yes,no,eat in,6,3,0,14,NA,NA,2871,55,Southwest Queens,403.1666667
1979,yes,condo,NA,yes,yes,eat in,5,3,0,13,NA,NA,NA,57,Southwest Queens,693.5833333
1962,no,co-op,combo,no,no,combo,NA,1,0,2,NA,NA,NA,99,Jamaica,527
1961,no,co-op,NA,no,no,efficiency,NA,1,0,3,NA,NA,NA,99,Jamaica,554
1928,no,co-op,NA,no,no,efficiency,NA,1,0,0,48,NA,NA,59,North Queens,467
1950,yes,co-op,formal,no,no,efficiency,2,1,0,5,NA,NA,NA,76,North Queens,975
1950,yes,co-op,combo,no,yes,combo,3,1,0,4,NA,NA,900,76,North Queens,1001
1953,yes,co-op,combo,no,no,efficiency,3,1,0,5,NA,NA,NA,34,North Queens,1458
1953,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,NA,NA,45,North Queens,955
1953,no,co-op,combo,no,no,efficiency,2,1,0,5,NA,NA,NA,45,North Queens,1147
1958,yes,co-op,combo,yes,yes,eat in,1,1,0,3,NA,NA,NA,32,North Queens,900
1958,no,co-op,NA,no,no,combo,NA,1,0,1,NA,NA,550,97,Jamaica,530
1958,no,co-op,NA,no,no,efficiency,1,1,0,4,NA,NA,800,97,Jamaica,780
1950,yes,co-op,formal,no,yes,efficiency,2,1,0,4,40,NA,715,66,North Queens,943
1969,no,co-op,formal,no,no,eat in,3,2,0,7,NA,NA,1500,32,North Queens,2451
1963,no,co-op,formal,no,yes,eat in,1,1,0,4,42,NA,1150,40,North Queens,1411
1962,no,co-op,NA,no,no,eat in,1,1,0,1,NA,NA,1160,40,North Queens,1484
1962,yes,co-op,NA,no,no,combo,2,2,0,4,NA,NA,1350,40,North Queens,1858
1968,yes,co-op,formal,no,no,eat in,3,3,0,7,40,NA,2400,40,North Queens,2835
NA,no,co-op,formal,no,no,eat in,1,1,0,4,NA,NA,NA,32,North Queens,1425
1969,no,co-op,formal,no,yes,eat in,3,2,0,7,NA,NA,1500,40,North Queens,2409
1953,yes,co-op,combo,no,no,eat in,3,1,0,6,36,NA,NA,44,North Queens,1531
1988,no,condo,NA,no,no,eat in,3,1,0,7,NA,NA,NA,86,Jamaica,205
1958,yes,co-op,combo,no,no,efficiency,1,1,0,3,39,NA,800,44,North Queens,953
1958,yes,co-op,combo,no,no,efficiency,2,1,0,4,39,NA,1000,37,North Queens,1198
2000,yes,condo,formal,yes,no,efficiency,3,2,1,6,NA,NA,2274,33,North Queens,923
1981,no,condo,formal,no,no,eat in,1,1,0,3,NA,NA,755,86,North Queens,550
1949,no,co-op,formal,no,yes,efficiency,2,1,0,6,NA,NA,NA,86,North Queens,967
1960,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,NA,NA,89,Jamaica,764
1968,no,co-op,formal,no,no,eat in,3,2,1,6,NA,NA,NA,71,North Queens,2091
2007,no,condo,combo,no,no,efficiency,1,1,1,5,NA,NA,985,94,Jamaica,593.3333333
2007,no,condo,combo,no,no,efficiency,1,1,1,5,NA,NA,985,93,Jamaica,593.3333333
1970,yes,co-op,combo,yes,no,efficiency,2,2,0,5,40,NA,NA,72,North Queens,1506
1970,yes,co-op,combo,yes,no,efficiency,1,1,0,3,40,NA,NA,71,North Queens,1066
1970,yes,co-op,combo,no,yes,eat in,1,1,0,4,40,NA,800,76,North Queens,902
1970,no,co-op,formal,no,no,eat in,1,1,0,4,NA,NA,NA,76,North Queens,135
1970,no,co-op,formal,no,yes,efficiency,3,2,0,6,NA,NA,NA,76,North Queens,1649
1968,no,co-op,NA,yes,yes,efficiency,1,1,0,3,40,NA,900,76,North Queens,1277
1969,yes,co-op,combo,no,yes,eat in,1,1,0,4,40,NA,900,76,North Queens,1100
1970,no,co-op,formal,no,yes,efficiency,3,2,0,6,42,NA,NA,76,North Queens,1873
1969,no,co-op,combo,no,no,combo,1,1,0,3,NA,NA,780,76,North Queens,914
1958,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,NA,NA,81,North Queens,578
1969,no,co-op,combo,no,yes,eat in,1,1,0,3,40,NA,700,76,North Queens,1195
1978,no,co-op,NA,no,yes,combo,1,1,0,4,40,NA,880,76,North Queens,1269
1970,no,co-op,combo,no,yes,eat in,2,2,0,5,40,NA,1200,76,North Queens,1600
1970,no,co-op,combo,no,yes,efficiency,1,1,0,4,40,NA,NA,76,North Queens,1222
1970,no,co-op,formal,no,yes,eat in,2,2,0,5,40,NA,1300,76,North Queens,1985
1970,no,co-op,NA,no,no,efficiency,1,1,0,4,40,NA,NA,76,North Queens,969
1970,no,co-op,combo,no,yes,eat in,1,1,0,4,NA,NA,NA,76,North Queens,939
2010,no,condo,formal,no,no,combo,2,2,0,5,NA,NA,1600,96,West Central Queens,270.8333333
1958,no,co-op,combo,no,no,eat in,1,1,0,4,NA,NA,850,77,North Queens,1051
1955,no,co-op,NA,no,no,efficiency,2,1,0,4,50,NA,NA,77,North Queens,1057
